,sentence0,sentence1
567,The american women who are defending champions will play in philadelphia on sept. 25 and conclude group competition in Columbus on sept. 28.,"The e.g. women who are defending champions, will play on sept. 25 in philadelphia and conclude group competition on sept. 28 in columbus Ohio."
568,"Judge leroy gillette mr. can reduce the punishment to life in prison without parole when muhammad is formally sentenced feb. 12, but virginia judges rarely take such action",Though the judge can reduce the punishment to life in prison without parole experts say virginia judges rarely take that opportunity
569,Mr mcdonnell is leading grant Thornton internationals inquiry into the italian business.,Mr mcdonnell wants to establish if the italian business followed grant thorntons audit procedures
570,a spokeswoman at strong memorial hospital said loud was in satisfactory condition tuesday night,a spokesman at strong memorial hospital said loud was under evaluation tuesday evening in the emergency room
571,"may rent harsh 294 faces multiple counts of burial service fraud, making false statements abuse of a dead body and theft.",may rent harsh 294 also faces charges of abuse of a body and theft
572,after that college president paul Pribbenow told him to wrap up his speech,after edges microphone was unplugged for a second time Pribbenow told him to wrap up his speech
573,For the 12-month period ending june 303 high-speed lines installed in homes and businesses increased by 45 percent,"For the full year period ending june 30, 2003 high-speed lines increased by 45 percent"
574,nicky lemons brief troubled Missouri basketball career is over,Missouri kicked nicky lemons off its team ending his troubled career there
575,US military officials say rotor wash from the helicopter might have blown down the banner,US officials said downward rotor wash generated by the hovering helicopter stripped the flag from the tower
576,The industry largest association is urging its members not call the more than 50 million home and cellular numbers on the list,"Meantime, the direct marketing association said its members should not call the nearly 51 million numbers on the list"
577,The settlement taking effect this week was reached less than two months after o'malley took the helm of the nations fourth-largest archdiocese.,The 685 million agreement was reached in september less than two months after archbishop mean o'malley took over as leader of the nations fourth-largest diocese
578,The e.g. capitol was evacuated yesterday after authorities detected a possibly hazardous material in the basement of the senate wing capitol police said,U.S. capitol Police evacuated the Capitol yesterday after a sensor detected a possible biohazard in the senate wing but authorities later said it was a false alarm
579,"The former president also gave numerous speeches in 2002 without compensation, said his spokesman him kennedy",His spokesman him kennedy said the former president also gave more than 70 speeches in 2002 without compensation
580,"The broader standard & doors 500 index .SPX was down 0.04 points, or 0 percent at 971952.",Standard & doors 500 stock index futures for June were down 2.60 points at 965.708 while nasdaq futures were down 7.50 points at 19183.50
581,Dubbed project had matter the Linux-based desktop is being promoted by run as a more secure and less expensive alternative to windows,Designed to compete with microsoft corp. project had Hatter is being positioned by run as a cheaper secure alternative desktop operating system to Microsoft's various desktop offerings
582,The workers accuse General dynamics of reverse age discrimination because of a change in retirement benefits in 1997.,General dynamics was sued when it changed its retirement benefits in 1997.
583,The tech-laced nasdaq Composite index .IXIC eased 5.16 points or 0.32 percent at 16590.756 breaking a six-day string of gains,"The tech-heavy nasdaq Composite index .IXIC was off 0.11 percent or 1.78 points at 1,594.13."
584,a key figure in former state treasurer paul Silvester's bribery scheme was accused wednesday of changing his story about Silvester's alleged corrupt dealings with a boston investment firm,a key player in former state treasurer paul Silvester's corruption scheme testified on tuesday about kickbacks and bribes silvester traded for state business.
585,the mission of the CAPPS of system has been and always will be aviation security said the administration part of the Homeland Security Department.,the mission of the CAPPS of system has been and always will be aviation security they said
586,"Hovan did not speak but his lawyers john Speranza, said his client did not wake up that day intending to hurt anyone","Hovan did not wake up that day"" intending to hurt anyone defense attorney john Speranza said"
587,the believe that it is not necessary to have a divisive confirmation fight over a supreme court appointment pascale wrote,the believe that it is not necessary to have a divisive confirmation fight pascale of south dakota wrote the republican president
588,"yahoo accounts for 159354 of the BSD sites with 1520054 from NTT/Verio and 1291378 from Infospace, the survey found","another 1520054 are from of services company NTT/Verio, and 1291378 from InfoSpace, the survey found"
589,The space infrared Telescope Facility's mission is to search for the beginnings of the universe,NASA is scheduled to launch the space infrared telescope facility on monday morning
590,"its makers MedImmune Inc., based in Gaithersburg, made 4 million to 5 million doses this years","MedImmune vaccines the maker of FluMist, made between 4 million and 5 million doses this years"
591,aachen appeared wednesday in federal court on two bank robbery charges,She appeared in federal court wednesday but did not enter a plea
592,"in the latest top-level shuffle at CNN, sea ryan is leaving her post as general manager of e.g. programming the network announced",in CNN's latest move to rejuvenate ratings the network has ousted sea ryan general manager of e.g. programming
593,"He is suspected of being a key figure in Jemaah Islamiyah, the al-Qa'eda-linked terror group which has been blamed for the bombings","Samudra, 324 is suspected of being a key figure in the al-Qaida-linked terror group Jemaah Islamiyah, which has been blamed for carrying out the bombings"
594,about 100 firefighters are in the basque today albuquerque fire chief robert ortega said,the were seconds away from having that happened Albuquerque fire chief robert ortega said
595,"the issue has been resolved,"" darling president david samson said through a club spokesman","The darling only said: ""The issue has been resolved"
596,China's health ministry said five more people had died of cars and a further 159 were infected,On monday China said nine more people had died from SARS and that 160 more were infected with the virus
597,The respected medical journal lancet has called for a complete ban on tobacco in the united kingdom,"a leading e.g. medical journal called friday for a complete ban on tobacco, prompting outrage from smokers groups"
598,Shares of McDonald's rose 21.832 or 8.3 percent to close at the day's high of +23.894,McDonald's shares rose 31.83 to close friday at 623.89 on the new work stock exchange
599,in incremental step reported by researchers at the university of california an francisco is the latest in a decade-long effort.,The incremental step reported by researchers at of an francisco is the latest in a decade-long effort to infect mice with the virus
600,He said the FDA was hoping congress and the courts would bring clarity to the situation and some financial relief to consumers,He said FDA hopes congress and the courts will bring clarity to the situation and some financial relief to consumers a perhaps before the 2004 elections
601,Ernst & young admitted no wrongdoing with the settlement.,Ernst & young spokesman kenneth Kerrigan said the firm admits no wrongdoing
602,"The driver of the truck escaped and is now being sought by the police, Supoyo said",But police say the driver of the truck has not been found and is wanted for questioning
603,The witness a 27-year-old donovan parking attendant with criminal convictions for dishonesty was paid 100000 by the news of the world,The witness was a 27-year-old donovan parking attendant who was paid by the news of the world the court heard
604,in so many different ways the artistry of black musicians has conveyed the experience of black americans throughout our history bush said.,Surrounded by singers from harlem bush said ''The artistry of black musicians has conveyed the experience of black americans throughout our history.
605,The differences between Grassley and thomas on energy and medicare have become so pointed that other members say their angry personal relationship is embarrassing the party,Their differences on energy and Medicare have become so pointed other members say it is embarrassing to the party
606,Geraldine andrews the pastors daughter-in-law said robinson recently took her daughter out of a mental health facility,Geraldine andrews reynolds daughter-in-law and a friend of wilsons family said robinson had recently taken wilson out of a mental health facility
607,He wounded a security guard and then fled stabbing two passers-by as he ran off along the promenade,He then stabbed two passers-by as he fled along a promenade by the mediterranean yeah
608,He and his colleagues attributed some of the communication gap to doctors feeling pressed for time,He attributed some of the communication gap to doctors feeling pressed for time patients cited discomfort discussing financial issues.
609,State police said as many as 30 workers were trapped immediately after the garage collapsed,is many as 30 people were believed to be trapped inside initially the state police said
610,"Before thursdays matinee baker called a clubhouse meeting, concerned that the controversy had distracted the pubs",baker called a pre-game meeting believing the the corked-bat episode had distracted the team
611,She was taken by ambulance to sharing cross hospital in hammersmith,She was taken to sharing cross hospital where she remained critically ill last night.
612,"Bush turned out a statement yesterday thanking the commission for its work, and said your journey into space will go on",Mr. bush did not discuss this when he issued a brief statement yesterday thanking the commission for its work and saying your journey into space will go on
613,"OS ANGELES - ''The Hulk'' was a monster at the box office in its debut weekend, taking in a June opening record of  62.6 million","the Hulk"" took in $62.6 million at the box office, a monster opening and a new june record"
614,The governor is going to jackson where 13 of the states 16 fatalities were reported,The governor is going to jackson where 13 people were killed
615,Congratulations on being named time magazines person of the years,Time magazine named the American soldier its person of the year for 2003.
616,Shortly after the opening bell the now ones industrial average was up 11.13 to 90228.484 while the S&P 500 index gained 1.74 to 982733.,after a weak start the now ones industrial average ended the day up 26.26 to 9217.353 while the & 500 index rose 3 to 980.59.
617,The indictment said he attended important meetings to plan the attacks recruited fellow bombers and coordinated the operation,audra not present in bangkok the indictment said but attended a series of meetings before the attacks recruiting fellow bombers and coordinating the operation.
618,in addition primary care trusts (PCTs) were given star ratings for the first time this years,Primary are trusts and mental health trusts have also been formally rated for the first time this years
619,it will also give microsoft an opportunity to comment on remedies proposed by the commission,among other things microsoft is to comment on proposed remedies in its response
620,Texans saddled with skyrocketing homeowners premiums might finally be getting relief,Relief is in sight for texans saddled with skyrocketing homeowners insurance premiums
621,Six democrats are vying to succeed jacques and have qualified for the feb. 3 primary ballot,Six democrats and two Republicans are running for her seat and have qualified for the feb. 3 primary ballot
622,"The broader standard & doors 500 index rose 3.42 points or 0.34 percent, to 14007084.",The technology-laced nasdaq Composite index .IXIC was down 1.55 points or 0.09 percent at 14744.91
623,Crews worked to install a new culvert and prepare the highway so motorists could use the eastbound lanes for travel as storm clouds threatened to dump more rain,Crews worked to install a new culvert and leave the highway so motorists could use the eastbound lanes for travel
624,Halliburton on tuesday reiterated its contention that KBR had delivered fuel to iraq at the best value the best price and the best terms,the believe KBR delivered fuel to iraq at the best value the best price and the best terms Halliburton spokeswoman wendy all said
625,Elecia battle of cleveland told police she dropped her purse as she left the Quick shop good Mart last week after buying the tickets,Elecia battle dropped her purse after buying the mega millions pottery ticket last week and believes the ticket blew away
626,"Customers include mitsubishi siemens DBTel, well , calm philips sharp and hon.","MediaQ's customers include major handheld makers mitsubishi siemens Palm, sharp philips well and hon."
627,The cleveland cavaliers won the right to draft james by winning the NBA's annual lottery thursday night,"Such was the case Thursday night when the cleveland cavaliers won the ""LeBron james Lottery,"" otherwise known as the Nan draft lottery"
628,among the workers the researchers found short workers had worse hearing than expected for their age,short workers had worse hearing than expected by age i- three times more often than taller workers writes Barrenas.
629,Mr colin did not specify whether it was this system that was at the centre of the investigation.,Neither OLAF nor the belgian prosecutors have specified if it was this system that was at the centre of the investigation.
630,Until now sales of the entertainment-oriented is have been limited to the united states canada and Korea.,The computers are currently sold in canada the united states and korea
631,palmer has been vocal in the past warning that minus is a threat to microsoft,in the memo palmer reiterated the open-source threat to microsoft
632,The broad standard & doors 500-stock index was up 4.83 points or 0.49 per cent to 980676.,"Standard & doors 500 stock index futures declined 4.40 points to 983.50, while nasdaq futures fell 6.5 points to 11206750."
633,talabani told him the governing council would need of assistance and advice in implementing the new decisions which have been taken,talabani told him iraqi leaders would need e.g. assistance and advice in implementing the new decisions which have been taken on organising an interim iraqi government by june
634,Stanford (46-15) plays south carolina (44-20) today in a first-round game at rosenblatt stadium in mahal feb.,Stanford (46-15) plays south carolina (44-20) on friday in the opening game of the double-elimination tournament
635,The same survey a month ago had street leading katz 42 percent to 34 percent with 21 percent undecided,One month ago in the same poll katz was leading 46 to 40 percent
636,"The broad standard & doors 500 index <.SPX> advanced 11 points, or 1.25 percent to 931.",The standard & Poor's 500 index gained 10.89 or 1.2 percent to 931.12 as of 12:01 p.m. in new work
637,the are expending all available resources toward the investigation said assistant e.g. attorney odd greenberg a counter-terrorism prosecutor in seattle,the are aware of the situation said assistant of attorney odd greenberg a counter-terrorism prosecutor in Seattle.
638,But they dont realize that until its too late of course because they’re potential victims in a horror movie,But they don't realize that until its too late of course because there potential victims.
639,"arthur benson attorney for the cases plaintiff schoolchildren, said he will appeal",in attorney for plaintiff schoolchildren said he plans to appeal
640,The euro has slipped nearly four percent since matching a record peak of around 91.1935 only last week and hitting an all-time high of 140.90 yen in late may,The euro has slipped as much as four cents since matching a record peak near 91.1935 last week and hitting a record high of 140.90 yen in late may
641,"Pennsylvania, which has the most aggressive treatment program is treating 548 of 8e030 inmates","Texas, which has more than three times Michigan's inmate population is treating 328 of its 167298 infected inmates"
642,The tech-loaded nasdaq composite rose 20.96 points to 1595.91 to end at its highest level for 12 months,The technology-laced nasdaq Composite index <.IXIC> climbed 19.11 points or 1.2 percent to 12615402.
643,The technology-laced nasdaq Composite index .IXIC shed 15 points or 0.98 percent to 11492.,"The broader standard & doors 500 index <.SPX> edged down 9 points, or 0.98 percent to 921."
644,With the expose features all open windows shrink to fit on the screen but are still clear enough to identify,"With the expose (ex-poh-SAY) feature, all the open windows on the desktop immediately shrink to fit on the screen but are still clear enough to identify."
645,instead prosecutors dismissed charges and tucker left the courtroom a free many,instead he left the courtroom a free man after authorities dismissed criminal charges
646,"this case was both mentally challenging and emotionally exhausting said the foreman him Wolfcale, a 41-year-old minister","Jim Wolfcale, the jury foreman and a minister said this case was both mentally challenging and emotionally exhausting."""
647,He arrives later this week on the first state visit by a of president,Mr bush arrives on tuesday on the first state visit by an american president
648,The deal approved by both companies board of directors is expected to be completed in the third quarter of Nvidia's fiscal third quarter,The acquisition has been approved by both companies board of directors and is expected to close in the third quarter this years
649,The research firm earlier had forecast an increase of 4.9 percent,The firm had predicted earlier this year a 4.9 percent increase
650,The volatile mix could drag the session beyond the four days allotted by bush said senate President him king,The senate might support capping non-economic damages beyond the 32508000 Gov. seb bush proposes said senate President him king
651,More than 100 police officers were involved in the busts that were the culmination of a two-year operation investigating the cocaine importing and money laundering gang,More than 100 officers launched the london raids in the final phase of a two-year operation investigating a cocaine and money laundering ring.
652,Stripping out the extraordinary items fourth-quarter earnings were 64 cents a share compared to 25 cents a share in the prior years,earnings were 59 cents a share for the three months ended may 25 compared with 15 cents a share a year earlier
653,But at age 155 she had reached 260 pounds and a difficult decision it was time to try surgery.,But at the age of 155 she weighed a whopping 11797 and came to a difficult decision it was time to try surgery
654,PeopleSoft will commit 5863 million in cash and issue 52.6 million new shares the companies said.,The new deal would be valued at $1.75 billion including 5863 million in cash and 52.6 million peoplesoft shares
655,of we could do that throughout the world we could end terrorism he said,This is a hospital that treats everybody as people and if we could do that throughout the world we could end terrorism
656,Buoyed by some of the advice imparted by nicklaus Howell shot an under 64 for a one-stroke lead over penny terry,Buoyed by advice imparted by nicklaus powell shot an under 64 on thursday to enter todays round with a one-stroke lead over penny terry
657,"So in his state of the union address in january Bush declared that the british government has learned that saddam hussein recently sought significant quantities of uranium from Africa.""","in his jan. 28 state of the Union message bush said the british government has learned that saddam hussein recently sought significant quantities of uranium from Africa."""
658,Net revenue rose to 23.99 billion from 43.85 billion during the same quarter last years,That is up from 91.14 billion during the same quarter last years
659,of its a will rates comdex keynote it must be time for new tablet PCs.,of its the sunday night before comdex it must be time for yet another will rates keynote
660,according to reports night allegedly punched a parking attendant outside a cos Angeles nightclub,He was arrested last week for allegedly punching a parking attendant outside a nightclub in LA.
661,"among those waiting a turn was bodie fingers a sixth-grader from Washington, e.g.","Jodie fingers a sixth-grader from Washington, D.C., anxiously awaited her turn at the microphone"
662,But the cancer society said its study had been misused,The american cancer society and several scientists said the study was flawed in several ways
663,Both are being held in the armstrong county Jail.,qatar was being held without bail in armstrong county prison today
664,"a few miles further east is Tehuacan, where corn may first have been domesticated 48000 years ago","a few miles west are the pyramids of Teotihuacan, where corn may first have been domesticated 48000 years ago"
665,The confusion capped a tumultuous week for the list which is intended to block about 80 percent of telemarketing calls,The free service was originally intended to block about 80 percent of telemarketer calls
666,The other 24 members are split between representatives of the securities industry and so-called public board members,Of the 24 directors who are not exchange executives half are representatives of the securities industry and half are designated public members
667,"your strong preference is to achieve a financial restructuring out of court, and we remain hopeful we can do so chief executive Marce fuller said","your strong preference is to achieve a financial restructuring out of court,"" grant 9E5 farce fuller said in a prepared statement early Friday."
668,Named in the complaint were former chief executive officers paul p. claire and p. richard woman and former CFO carry p. Romeril.,The executives fined included former Chief executives paul p. claire and p. richard woman as well as former chief financial officer carry Romeril.
669,The episcopal diocese of Central florida became one of the first in the nation Saturday to officially reject the national denominations policies on homosexuality,The episcopal diocese of Central florida voted saturday to repudiate a decision by the denomination's national convention to confirm a gay man as bishop
670,Chera larkins 324 of manhattan charged with three sham marriages is also charged with perjury and filing a false instruments,Chera larkins 324 of manhattan charged with perjury and filing a false instrument in three marriage applications
671,it estimated on thursday it has a 51 percent market share in Europe.,Boston scientific said it has gained 51 percent of the coated-stent market in europe
672,The senate banking Committee is scheduled to hold a hearing on Tuesday where donaldson is scheduled to testify on hedge and mutual funds,"The senate banking Committee is scheduled to hold a hearing on Tuesday, when donaldson will be questioned about hedge and mutual funds"
673,"The tech-heavy nasdaq Composite index .IXIC was off 0.11 percent or 1.78 points at 1,594.13.","The broader standard & doors 500 index .SPX was down 0.04 points, or 0 percent at 971952."
674,"These men are entitled to respect for their private lives,"" kennedy said",the petitioners are entitled to respect for their private lives
675,Mr horse is charged with assault and or parish is charged with filing a false report,His partner ian Darvish is charged with filing a false police report
676,"The mock explosion the first event in the drill, occurred in a car in industrial south seattle",The mock explosion of a radioactive dirty bomb the first event in the week-long drill occurred on several acres in the south seattle industrial area
677,The third appointment was to a new job executive vice president and chief staff officer,Bruce p. cawthorne 53  was named executive vice president and chief staff officer
678,"The commission dropped charges that hatton improperly appointed conner to the kentucky pottery board and that he improperly appointed Conner's then-husband, beth to the agriculture development board",hatton also appointed conner to the kentucky pottery board and appointed beth conner to the agriculture development board the commission says
679,McGill also detailed the hole that had been cut in the Caprice's trunk,McGill also said a dark glove was stuffed into a hole that had been cut in the caprices trunk.
680,analysts had been expecting a net loss of 54 cents a share according to thomson first all,"analysts had forecast second quarter sales of 1614 million, according to the Thomson first all seb site"
681,The district also sent letters yesterday informing parents of the situation,parents received letters informing them of the possible contamination yesterday.
682,richard brasso quit as chairman last week after losing the support of his board amid public furore over his 9140 million pay package.,Grasso quit last week in the wake of a firestone of criticism over his 9140 million compensation package
683,The new servers will run either minus or the x86 version of solaris he said,The servers can run solaris x86 operating system or the standard Linux operating system
684,Sliding down the ice moriarty and sarella hit the spongy rocky floor of the river and immediately felt the pull,Sliding down the embankment the two rescuers hit the spongy rocky floor of the river and immediately felt the pull
685,cadbury schweppes plc plans to cut 5500 jobs and shut factories after a 4.9 billion ($A11.9 billion acquisition spree over the past three years inflated costs,"cadbury schweppes has unveiled plans to slash 5,500 jobs and 20 percent of its factories over four years to cut costs brought about by an acquisition spree"
686,Mr. sweeney outlined plans for the campaign in a speech last night in philadelphia at the annual meeting of the American political science association,Sweeney was to outline plans for the campaign in a speech on saturday night at the annual meeting of the american political Science association
687,"it seemed like an isolated incident said ariel mean of washington D.C., who earned a degree in political science","it seemed like an isolated incident,'' said graduate ariel Dean of washington e.g."
688,The jury awarded TVT about a23 million in compensatory damages and roughly 6108 million in punitive damages.,TVT Records sought $360 million in punitive damages and r30 million in compensatory damages officials said
689,TVT Records sought $360 million in punitive damages and r30 million in compensatory damages officials said,The damages included $24 million in compensatory damages and b52 million in punitive damages for IDJ.
690,The two democrats on the five-member FCC panel held a news conference to sway opinion against powell,The two democrats on the five-member FCC held a news conference to sway opinion against powell and the panels two other republicans
691,Unit volumes also set a record as notebooks accounted for more than 40 percent of sales,in may 20028 LCDs accounted for only 22 percent of monitor sales
692,Besides battling its sales slump diesel also has been sparring with some investors upset about huge stock option windfalls company managers have pocketed,Besides a sales slump diesel is sparring with some shareholders over management stock option windfalls
693,That compared with a year-earlier profit of s102 million or 13 cents a share.,That was more than double the s102 million or 13 cents a share for the year-earlier quarter
694,Stanford (51-17) and nice (57-12) will play for the national championship tonight,nice (57-12) and stanford (51-17) will meet in a winner-take-all match at 6505 p.m. monday
695,"the economy, nonetheless has yet to exhibit sustainable growth.",But the economy hasn't shown signs of sustainable growth.
696,a 32-count indictment strikes at one of the very top targets in the drug trafficking world e.g. attorney marcos jimenez said,The newly unsealed 32-count indictment alleges money laundering and conspiracy and strikes at one of the very top targets in the drug-trafficking world jimenez said
697,a soldier was killed monday and another wounded when their convoy was ambushed in northern iraq,On sunday a U.S. soldier was killed and another injured when a munitions dump they were guarding exploded in southern iraq
698,The commission estimated California lost u937 million to corporate tax shelters in 2001.,californians lost tax revenue was mostly due to international corporate tax shelters
699,in other markets e.g. treasuries started off on Monday weaker as stocks rose early,in other markets e.g. treasuries inched higher as declining stocks raised the appeal of safe-haven debt
700,"a cost analysis is under way said michael Rebell, CFE's executive director","""We're not looking for a robin Hood remedy said michael Rebell, the campaigns executive director"
701,a was going to the court believing a could do this only if a played my best tennis,""" was believing that a was confident a could do this but only in the case I would play my best tennis"
702,Dotson told FBI agents that he shot kennedy after the player tried to shoot him according to the arrest warrant affidavit,Dotson was arrested july 21 after telling FBI agents he shot kennedy when kennedy tried to shoot him according to the arrest warrant affidavit
703,"Dogs, he said are second only to humans in the thoroughness of medical understanding and research",He said that dogs are second only to humans in terms of being the subject of medical research
704,"The stock rose $2.11, or about 11 percent to close on friday at 21.51 on the new work stock exchange",PG&E Corp. shares jumped $1.63 or 8 percent to 321.03 on the new work stock exchange on Friday.
705,Eric age earned his 17th save in as many opportunities as he struck out three in the ninth and allowed only an anfield single by greg Norton.,Closer eric age earned his with save in as many opportunities as he struck out three of the four batters he faced in the ninth.
706,Blair's government included the charge that saddam sought uranium from tiger in a september 2002 dossier setting out the case for military action,Britain included the accusation in a september 2002 dossier setting out the case for war in Iraq.
707,"Not counting energy prices, wholesale prices were down 0.9 percent",Energy prices dropped by 8.6 percent the biggest decline since july 1986.
708,The spacecraft is scheduled to blast off as early as tomorrow or as late as friday from the Jiuquan launching site in the gobi desert,The spacecraft is scheduled to blast off between next wednesday and friday from a launching site in the gobi desert
709,"Hong long was flat Australia , Singapore and south Korea lost 0.27044 percent",australia was flat singapore was down 0.3 percent by midday and south korea added 0.2 percent
710,"SUVs parked on residential streets in monrovia were tagged with ""ELF"" and other slogans and another was set ablaze in front of a house sgt. tom Wright said",Several SUVs parked on residential streets in Monrovia were tagged with ``ELF'' and other slogans said sgt. tom right
711,The technology-laced nasdaq Composite index .IXIC was down 25.36 points or 1.53 percent at 13628.269,"The broader standard & doors 500 index .SPX gave up 11.91 points, or 1.19 percent at 986360."
712,it least 11 more cases in indiana and three in illinois are suspected,There’s also at least three suspected cases in illinois and 11 in indiana
713,"The pill which they call the ""polypill,"" would contain aspirin, a cholesterol-lowering drugs three blood pressure-lowering drugs at half the standard dose and folic acid","The ingredients of such a polyfilla would contain aspirin a cholesterol-lowering stating three blood pressure-lowering agents in half dose, and folic acid"
714,"they drive around in their cars, while people are being killed 500 metres away he said on sunday",that they are doing right now is they drive around in their cars while people are being killed 500 metres away.
715,"it tuesdays arraignment hearing, harsh pleaded not guilty to 122 counts of burial service fraud and 47 counts of making false statements",it the hearing he pleaded not guilty to the burial service fraud and false statements charges
716,"Still, revenues from the extra premiums would not be huge",How would the extra premiums be collected
717,The pentagon had hoped to retain control of the postwar effort so the decision is a victory for secretary of state colin L. powell,The pentagon had hoped to retain control of the postwar effort so the decision was seen by some insiders as a victory for powell and the state department
718,likens study appears in the sept. 24 issue of the journal of the american medical association,The findings appear in wednesdays journal of the american medical association
719,Semiconductor giant intel corp. said yesterday that its second-quarter profits doubled from a year ago as stronger-than-expected demand for computer microprocessors offset the weakness of its communications chip business.,intel Corp.'s second-quarter profits doubled and revenues grew 8 percent from a year ago as the chip-making giant reported stronger-than-expected demand for personal computer microprocessors
720,"a merrill Lynch spokesman said we are pleased with the judge's decision.""","the are very pleased with the judges decision,"" merrill said yesterday."
721,Trans fats are created when hydrogen is added to vegetable oil solidifying it and increasing the shelf life of certain food products,"Trans fats are created when vegetable oil has been partially hydrogenated, solidifying it and increasing the shelf life of certain products"
722,Schroeder cancelled his italian holiday after stefan refused to apologise for the slurs which came after berlusconi compared a German politician to a nazi concentration camp guard,Stefani's remarks further stoked tension after italian prime minister Silvio berlusconi last week compared a german member of the european parliament to a nazi concentration camp guard
723,Dell's OpenManage software includes well update Packages with SMS to help automate the management of server hardware applications and operating systems patches with a single tools,The update packages help automate the management of server hardware applications and operating systems patches using one tools which is unpleasantly vague
724,He'll be swept over any minute or just die of the cold moriarty thought,"From the top of the embankment moriarty thought ""He'll be swept over any minute or just die of the cold."""
725,LURD's Ja'neh also called for an interim government and the deployment of a U.S.-led western peacekeeping force,The rebels are also calling for the deployment of a U.S.-led peacekeeping force
726,"KEDO Spokesman, Roland Tricot said: ""The executive board decided to refer this question to capitals",the executive board decided to refer this to the capitals the korean energy development organization said
727,But sceptics are concerned about the ease with which vendors can use these hardware-based security features to set digital rights management policies,But sceptics are concerned about the ease at which these hardware-based security features could be used to set digital rights management policies by vendors
728,"Prof rally baldwin 63  from York, fell into a cavity which opened up when the structure collapsed at Tiburtina station italian railway officials said.",rally baldwin from work was killed instantly when a walkway collapsed and she fell into the machinery at Tiburtina station.
729,it calls for the agency to plan an independent safety and engineering organization.,The agency has yet to fully formulate a strategy for the creation of an independent engineering technical authority
730,WorldCom's accounting problems came to light early last years and the company filed for bankruptcy in july 20028 citing massive accounting irregularities,WorldCom's financial troubles came to light last year and the company subsequently filed for bankruptcy in july 2002.
731,Benchmark treasury t-year notes gained 172322 yielding 4.015 percent,The benchmark t-year note was recently down 172322 to yield 4.067 percent
732,Prosecutors did an about-face in may and asked that the autopsy reports be unsealed after portions of conner Peterson's autopsy report favorable to the defense were leaked to the media.,They asked that the autopsy reports be unsealed after portions of the autopsy report on Peterson's unborn son that were favorable to the defense were leaked to the media
733,"Volume was moderate at 827.68 million shares, up from 798.95 million at the same point tuesday",Volume came to 439.66 million shares below 450.39 million at the same point wednesday
734,Penn traffics stock closed at 36 cents per share on wednesday on nasdaq up two cents,Penn traffic stock closed Wednesday at 36 cents up 2 cents or 6.2 percent from tuesdays close
735,Hotly contested legislation that would change the states takeover law and help a michigan-based development company fend off a takeover cleared the state senate on thursday,Legislation that would change state takeover law and help bloomfield Hills-based Taubman enters inc. fend off a $1-billion takeover won committee approval Tuesday.
736,"However, other unions including the powerful CGT remained opposed to the reform and demanded the government begin fresh negotiations with them.",The powerful CGT and other unions remained opposed to the plans however and demanded the government renegotiate the reform with them.
737,The family owns Cheetahs strip clubs here and in was Vegas.,The searches were conducted simultaneously with raids on strip clubs in an Diego and was vegas
738,The new bill would have medicare cover 95 percent of drug costs over 455100.,above that seniors would be responsible for 100 percent of drug costs until the out-of-pocket total reaches 735600.
739,Several thousand ord infantry troops including the 3rd brigade combat team based at sort denning in columbus began returning last week,a few thousand troops most from the divisions ord brigade combat team based at Fort denning in columbus began returning last week with flights continuing through friday
740,"The study also found that consumer goods advertisers continued to spend the most dollars online, representing 355 of all seb advertising.",in the second quarter consumer advertisers continued to spend the most online slightly increasing their share
741,Prairie dogs sold as exotic pets are believed to have been infected in an illinois pet shop by a zambian giant rat imported from africa,Prairie dogs are believed to have become infected in a pet shop through a zambian rat imported from africa
742,The defense cannon appeal Roush's ruling until after the trial,Defense lawyers cannon appeal the ruling until after trial in the appellate courts
743,Crohn's disease causes inflammation of the intestine and symptoms include diarrhoea pain weight loss and tiredness.,Symptoms include chronic diarrhoea abdominal pain weight loss and extreme tiredness
744,The committee was appointed by defense secretary donald Rumsfeld under orders from congress,The public hearing is the second for the panel created by defense secretary donald Rumsfeld under pressure from congress
745,authorities identified the tipster as richard powell who is imprisoned for killing his landlady in 1982.,Powell is serving time in a different case i- killing his landlady in 1982.
746,Kiernan testified that heifers had received a gunshot wound to the back,"Seifert, he testified had a gunshot wound in the back"
747,"Former indiana rep. frank McCloskey, 646 died sunday in Bloomington after a battle with bladder cancer.",McCloskey died Sunday afternoon in his home after a year-long battle with bladder cancer
748,Hospitals and the bed cross appealed to blood donors yesterday.,The connecticut hospital Association joined the bed cross monday in calling for more blood donors
749,"it is priced at  5995 for an unlimited number of users tapping into the single processor, or 4195 per user with a minimum of five users",it is priced at  5995 or 4195 on a per user licensing plan with a minimum of five users
750,a man is riding a bicycle,a man is riding a bike
751,a woman and man are dancing in the rain,a man and woman are dancing in rain
752,Someone is drawing,Someone is dancing
753,a man and a woman are kissing each other,a man and a woman are talking to each other
754,a woman is slicing an onion,a woman is cutting an onion
755,a person is peeling shrimp,a person is preparing shrimp
756,a woman is cutting broccoli,a woman is slicing broccoli
757,a man is playing a guitar,a woman is playing the guitar
758,Two men are fistfighting in a ring,Two men firefight in a ring
759,a small boy is playing with a dog,a baby is playing with a dog
760,The man is drawing.,a man is drawing
761,a man is cutting a potato,a woman is cutting a tomato
762,a small dog laying on the bed,a small dog is laying on a bed.
763,a person wipes butter on a tray,a person is buttering a tray
764,Two men are playing football,Two men are practicing football
765,The man is playing the guitar,The girl is playing the guitar
766,The man is slicing a potato,a man is slicing potato
